id,question_text,correct_answer,option_A,option_B,option_C,option_D,option_E,option_F,category,origin
46,"V miestnosti je 20 ľudí a každý s každým si chce potriasť rukou. Avšak, jeden z týchto 20 ľudí to odmietne, pričom prehlási, že má čerstvo nakrémované ruky. Ku koľkým potraseniam rúk teda nakoniec dôjde?",B,190,171,153,Ani jedna z odpovedí od A do F nie je správna.,20,19,Matematika,autorsky vytvorená otázka
47,"Ak je Karolov syn otcom môjho syna, kto som ja pre Karola?",C,Som Karolov dedo.,Som Karolov otec.,Som Karolov syn.,Som Karolov strýko.,Som Karolov vnuk.,Som Karol.,Chytáky,autorsky vytvorená otázka
48,"Ak je tá istá kniha na poličke štvrtou zľava a šiestou sprava, koľko kníh je na tejto poličke dokopy?",E,6,4,"Je nutné poznamenať, že polička dokáže udržať veľké množstvo kníh a ďalej sa týmto príkladom nezaoberať.",8,9,10,Priestorové,autorsky vytvorená otázka
49,"Je vôbec technicky možné, respektíve reálne, aby bol nejaký človek 600 krát starší ako ďalší, iný člen jeho rodiny?",E,Nie je to možné.,"Áno, ale veľmi zriedkavo.","Je to jav, ktorý sa stane raz za dlhé roky.","Áno, je to možné, napríklad v prípade pol ročného bábätka a 100 ročného člena rodiny.","Áno, je to možné, napríklad v prípade mesiac starého vnuka a jeho 50 ročného starého otca.","Áno, je to možné, napríklad v prípade ročného bábätka a 200 ročného člena rodiny.",Matematika,autorsky vytvorená otázka
50,"Stará matka, dve matky a dve dcéry išli spolu do divadla. Koľko vstupeniek si minimálne museli kúpiť?",C,1,2,3,4,5,6,Chytáky,autorsky vytvorená otázka
51,"Keď si kúpiš kohúta a predpokladáš, že bude znášať 3 vajcia za deň, koľko vajec znesie za 2 týždne?",D,42,28,14,0,3,6,Chytáky,autorsky vytvorená otázka
52,"Lekár predpísal pacientovi päť tabletiek, ktoré má užiť postupne, jednu po jednej, každú pol hodinu. Ako dlho bude trvať, kým pacient užije všetky tabletky?",B,"2,5 hodiny.",2 hodiny.,3 hodiny.,"1,5 hodiny.",5 hodín.,Pol hodiny.,Časové,autorsky vytvorená otázka
53,"Ak máš v krabici 6 čiernych a 6 bielych ponožiek, ktoré sú úplne rovnaké okrem farby, koľko ponožiek musíš potme vytiahnuť, aby si mal istotu, že máš aspoň jeden pár rovnakej farby?",B,2,3,4,6,7,12,Matematika,autorsky vytvorená otázka
54,"Ak 5 strojov vyrobí 5 výrobkov za 5 minút, ako dlho bude trvať 100 strojom vyrobiť 100 výrobkov?",C,100 minút.,500 minút.,5 minút.,1 minútu.,20 minút.,1000 minút.,Matematika,autorsky vytvorená otázka
55,"Dom má štyri steny, každá stena smeruje na juh. Okolo domu prejde medveď. Akú farbu má medveď?",F,Hnedú.,Čiernu.,Nemožno určiť.,Šedú.,Farbu podľa okolia domu.,Bielu.,Priestorové,autorsky vytvorená otázka
56,"Aké dve celé, kladné čísla, ktorých súčin je 16, majú najväčší možný súčet?",C,4 a 4,2 a 8,1 a 16,-2 a -8,Nedá sa určiť.,Žiadne.,Matematika,autorsky vytvorená otázka
57,"Aký je ďalší člen v tejto postupnosti mesiacov: J, F, M, A, M, J, J, [?]? ",A,A,S,O,N,D,J,Chytáky,autorsky vytvorená otázka
58,"Ste na križovatke dvoch ciest, jedna vedie do mesta Pravdovravných (vždy hovoria pravdu), druhá do mesta Klamárov (vždy klamú). Stretnete obyvateľa jedného z týchto miest (neviete ktorého). Akú otázku mu položíte (len jednu), aby ste zistili cestu do mesta Pravdovravných?",A,Ktorá cesta vedie do vášho mesta?,Ktorá cesta nevedie do vášho mesta?,Ukážte mi cestu do mesta Klamárov.,"Ak by som sa spýtal klamára, kam vedie táto cesta (ukazujúc na jednu), čo by povedal?",Ste vy Pravdovravný?,Ktorá cesta vedie do mesta Pravdovravných?,Chytáky,autorsky vytvorená otázka
59,"Skautský vedúci má v skupine 12 chlapcov. Zdalo sa mu to však veľa a preto vyhlásil: „Dvaja najstarší, dvaja najmladší, dvaja najnižší a dvaja najvyšší chlapci opustia skupinu.“ Koľko chlapcov mohlo zostať v skupine?",C,0 – 8,2 – 6,4 – 8,4 – 10,6 – 12,2 – 10,Matematika,autorsky vytvorená otázka
60,"Máme týchto 5 slov: „Košice“, „Chelsea“, „Řehořková“, „Smernice“ a „Trubadúr“. Počet písmen slova, ktoré je najkratšie z týchto 5 uvedených slov, vynásob hodnotou počtu písmen slova, ktoré je najdlhšie z týchto 5 uvedených slov. Aký dostaneme výsledok?",E,44,10,55,45,54,Správna odpoveď nie je ani jedna z uvedených.,Matematika,autorsky vytvorená otázka
61,"Máme týchto 5 slov : a)jedna b)dva C)jablko d)osem e)Kanada
Počet písmen slova, ktoré je najkratšie z týchto 5 uvedených slov, vynásob hodnotou, ktorú predstavuje slovo  uvedené v d). Aký dostaneme výsledok?",B,16,24,2,8,36,128,Matematika,autorsky vytvorená otázka
62,Zo 101 dalmatíncov má 58 čiernu škvrnu na ľavom uchu a 15 dalmatíncov má čiernu škvrnu na pravom uchu. 29 dalmatíncov má obe uši biele. Koľko dalmatíncov má čierne škvrny na oboch ušiach?,A,Jeden.,Dvaja.,Traja.,Štyria.,Piati.,Šiesti.,Matematika,český dokument Netradiční/nestandardní úlohy
63,"Keď Mária vypĺňala prihlášku do súťaže, zamenila dve posledné číslice roku svojho narodenia. Ešte nemala 20 rokov a zmenou dátumu uviedla, že má o 27 rokov viac, ako je jej skutočný vek. Koľko rokov teda skutočne má?",E,18 rokov.,17 rokov.,15 rokov.,16 rokov.,14 rokov.,Úloha nemá platné riešenie.,Matematika,český dokument Netradiční/nestandardní úlohy
64,"V krabici je 20 balónov v troch rôznych farbách – modrej, červenej a bielej. Aký najmenší počet balónov musíme z krabice vytiahnuť, aby sme mali istotu, že aspoň 5 z nich bude mať rovnakú farbu?",A,13 balónov.,Úloha nemá platné riešenie.,12 balónov.,20 balónov.,5 balónov.,10 balónov.,Matematika,český dokument Netradiční/nestandardní úlohy
65,"Na vymyslenej planéte s názvom Matrix má rok len 3 mesiace a mesiac iba 10 dní. Ak je Karol na Zemi starý 360 dní, aký starý by bol Karol na planéte Matrix?",E,36 rokov.,3 roky.,120 rokov.,30 rokov.,12 rokov.,1 rok.,Matematika,český dokument Netradiční/nestandardní úlohy
66,"Ondrej býva vedľa Branislava, Hana oproti Klaudii, Erik vedľa Františka, Daniel vedľa Ondreja, František naproti Daniela a vedľa Hany, Ladislav vedľa Erika. Čo platí?",D,Klaudia býva vedľa Františka.,Hana býva oproti Ondrejovi.,Erik býva oproti Branislava.,Klaudia býva vedľa Daniela.,Ladislav býva vedľa Daniela.,Žiadne z uvedených tvrdení neplatí.,Priestorové,český dokument Netradiční/nestandardní úlohy
67,Na natrenie všetkých stien kocky sme potrebovali 3 kilogramy farby. Koľko farby potrebujeme ku natretiu všetkých stien kocky s trikrát dlhšou hranou?,C,9 kilogramov.,18 kilogramov.,27 kilogramov.,12 kilogramov.,54 kilogramov.,81 kilogramov.,Matematika,český dokument Netradiční/nestandardní úlohy
68,"Školská knižnica, do ktorej chodia Anna, Lenka a Karel, má veľké množstvo kníh. Učiteľka oznámi, že približný počet je 2010 kníh a vyzve troch žiakov, aby uhádli presný počet. Anna háda že ich je tam práve 2010, Lenka skúsi 1998 a Karol odhadne 2015. Učiteľka odpovie, že rozdiel medzi číslami, ktoré skúšali, a presným číslom je 12, 7 a 5, ale nie v tomto poradí. Koľko je teda v knižnici kníh?",D,2022 kníh.,2008 kníh.,V knižnici je 2005 kníh.,V knižnici je 2003 kníh.,V knižnici je 2010 kníh.,1993 kníh.,Matematika,český dokument Netradiční/nestandardní úlohy
69,"Marta prišla načas, aby sa stretla so svojou priateľkou Eliškou, ale tá ešte neprišla. Marta sa preto rozhodla na chvíľu odísť a skúšať šťastie každých 10 minút. Eliška prišla len o minútu neskôr, ale keďže Martu nezastihla, rozhodla sa opäť odísť a skúšať šťastie každých 7 minút. Koľkokrát sa bude musieť Eliška vrátiť, aby konečne stretla Martu?",E,2 krát.,Štyri krát.,Čas stretnutia je 50. minúta od pôvodného času stretnutia.,8 krát.,Sedem krát.,5 krát.,Časové,český dokument Netradiční/nestandardní úlohy
70,"Ak každý z Petrových priateľov spočítal deň a mesiac svojho narodenia, vyšlo im 35. Žiadny z Petrových priateľov sa nenarodil v rovnaký deň ako ostatní. Koľko najviac kamarátov môže mať Peter?",A,Najviac 8 kamarátov.,Najviac 9 kamarátov.,Štyroch.,Piatich.,Najviac dvanástich.,Siedmich kamarátov.,Matematika,český dokument Netradiční/nestandardní úlohy
71,Chlapci zo skautského oddielu prešli za 4 dni vzdialenosť 82km. Každý ďalší deň išli pešo o 3 kilometre menej ako predchádzajúci deň. Koľko kilometrov prešli skauti v prvý deň?,D,"20,5km",28km,16km,25km,22km,31km,Matematika,český dokument Netradiční/nestandardní úlohy
72,Desať mačiek zje 10 myší za 10 minút. Koľko mačiek je potrebných na zjedenie 100 myší za 100 minút?,E,100,1,1000,20,10,"Nie je možné určiť, pretože máme nedostatok informácií.",Matematika,český dokument Netradiční/nestandardní úlohy
73,"Ak napíšeme sedem po sebe idúcich celých čísel a súčet troch najmenších je 33, aký je súčet troch najväčších čísel?",C,44,46,Žiadna z odpovedí nie je správna.,33,12,29,Matematika,český dokument Netradiční/nestandardní úlohy
74,Na označenie všetkých strán knihy je potrebných 2010 číslic. Koľko strán má kniha?,F,705 strán.,1005 strán.,703 strán.,670 strán.,607 strán.,706 strán.,Matematika,český dokument Netradiční/nestandardní úlohy
75,Pred dvoma rokmi mali Simona a Žaneta spolu 15 rokov. V súčasnosti má Simona 13 rokov. Za koľko rokov bude mať Žaneta 9 rokov?,D,Za 5 rokov.,Za 6 rokov.,Za 2 roky.,Za 3 roky.,Za rok.,Žaneta mala 9 rokov a to už pomerne dávno.,Matematika,český dokument Netradiční/nestandardní úlohy
76,"Priemerný vek hráčov 11 členného futbalového tímu je 25 rokov. Ak viete, že jeden 35 ročný hráč bol nedávno vylúčený z tímu, aký je priemerný vek zvyšných hráčov?",B,"24,1 rokov.",24 rokov.,"21,8 rokov.","27,5 rokov.",26 rokov.,25 rokov.,Matematika,český dokument Netradiční/nestandardní úlohy
77,"Pes je deväťkrát ťažší ako mačka, myš je dvadsaťkrát ľahšia ako mačka a repa je šesťkrát ťažšia ako myš. Koľkokrát je pes ťažší ako repa?",A,30 krát.,54 krát.,1080 krát.,"1,5 krát.",120 krát.,3 krát.,Matematika,český dokument Netradiční/nestandardní úlohy
78,"Lenka a Pavol hrali hru kameň, nožnice, papier (kde kameň otupí nožnice, papier zabalí kameň a nožnice strihajú papier) desaťkrát za sebou. Pavol dal trikrát kameň, šesťkrát nožnice a raz papier. Lenka ukázala dvakrát kameň, štyrikrát nožnice a štyrikrát papier. Žiadne kolo skončilo nerozhodne a poradie, v ktorom Pavol a Lenka použili kameň, nožnice alebo papier, nie je známe. Koľkokrát Pavol prehral?",B,7 krát.,Tri krát.,Dva krát.,4 krát.,Raz.,6 krát.,Chytáky,český dokument Netradiční/nestandardní úlohy
79,"Hodinky, ktoré ukazujú hodiny, minúty a sekundy, majú týždenný náskok 2 minúty a 48 sekúnd. Hodiny natiahneme v nedeľu na poludnie. Aký čas budú ukazovať nasledujúci štvrtok o 16:00?",E,16:04:00,16:01:48,16:01:00,16:02:48,16:01:40,15:58:20,Časové,český dokument Netradiční/nestandardní úlohy
80,Tri utorky v mesiaci pripadli na párne dátumy. Ktorý deň v týždni pripadol na 21. deň tohto mesiaca?,F,Pondelok.,Utorok.,Streda.,Štvrtok.,Piatok.,Nedeľa.,Časové,český dokument Netradiční/nestandardní úlohy
81,Na pretekoch na 100 metrov sa zúčastňuje 625 pretekárov. Preteká sa na 5 tratiach a do ďalšej časti súťaže postupuje len víťaz každého behu – ostatní sú vyradení. Aký minimálny počet behov je potrebný na určenie víťaza pretekov?,D,125,4,Minimálny počet je 31 behov.,Minimálny počet je 156.,Minimálny počet je 155.,124,Matematika,český dokument Netradiční/nestandardní úlohy
82,"Na podstavci stojí socha, ktorá je o 1/3 vyššia ako podstavec. O koľko je podstavec nižší ako socha?",A,O jednu štvrtinu.,O jednu tretinu.,O tri štvrtiny.,O štyri tretiny.,Podstavec nie je nižší.,Nemožno určiť.,Matematika,český dokument Netradiční/nestandardní úlohy
83,"Peter zabudol posledné tri číslice svojho kódu 19 921 993 [][][]. Zapamätal si však, že je deliteľné číslom 25. Koľko kombinácií pripadá do úvahy?",D,4 kombinácie.,10,1,40,14 kombinácií.,36 kombinácií.,Matematika,český dokument Netradiční/nestandardní úlohy
84,"Lukáš strieľal na strelnici. Zaplatil za päť striel. Za každý zásah mohol strieľať dvakrát zadarmo. Koľkokrát Lukáš zasiahol cieľ, ak vystrelil celkom 17 krát?",A,6 krát.,17 krát.,5 krát.,12 krát.,11. krát.,Nemožno určiť.,Matematika,český dokument Netradiční/nestandardní úlohy
85,Pavol hovorí: „Mám toľko bratov ako sestier.“. Jeho sestra hovorí: „Mám dvakrát toľko bratov ako sestier.“. Koľko detí je v rodine?,E,5,3 deti.,4 deti.,6 detí.,4 chlapci a 3 dievčatá.,8,Chytáky,český dokument Netradiční/nestandardní úlohy
86,"Ondrej, Štefan, Robert a Marek sa stretli na koncerte v Prahe. Každý z nich pochádzal z iného mesta, konkrétne z Košíc, Bardejova, Trnavy a Bratislavy. O každom z nich vieme nasledovné. Ondrej a chlapec z Bratislavy prišli do Prahy v deň koncertu skoro ráno. Ani jeden z nich nikdy nebol v Košiciach ani v Trnave. Robert nie je z Bratislavy, ale do Prahy prišiel v rovnakom čase ako chlapec z Košíc. Marekovi a chlapcovi z Košíc sa koncert veľmi páčil. Odkiaľ je Marek?",D,Z Bardejova.,Z Prahy.,Z Košíc.,Z Bratislavy.,Z Trnavy.,Nevedno.,Chytáky,český dokument Netradiční/nestandardní úlohy
87,Uhlopriečka rovnoramenného lichobežníka je dlhá 16 centimetrov a so základňou lichobežníka zviera uhol 45º. Aký je jej obsah?,B,128 centimetrov kubických.,128 centimetrov štvorcových.,256 centimetrov kubických.,181 centimetrov štvorcových.,181 centimetrov kubických.,256 centimetrov štvorcových.,Matematika,český dokument Netradiční/nestandardní úlohy
88,Počas piatich rokov študent absolvoval 31 skúšok. Počnúc druhým ročníkom absolvoval v každom roku vždy viac skúšok ako v predchádzajúcom roku. V piatom ročníku bol počet vykonaných skúšok trikrát vyšší ako v prvom ročníku. Koľko skúšok absolvoval študent počas štvrtého ročníka?,D,7,6,9,8,5,10,Matematika,český dokument Netradiční/nestandardní úlohy
89,"Na troch policiach je spolu 64 kníh. Ak presunieme 5 kníh z druhej police na tretiu, potom bude rovnaký počet kníh na prvej a na druhej polici a počet kníh na tretej polici rovnaký ako počet kníh na prvej a na druhej polici dokopy. Koľko kníh je na tretej polici?",E,32,16,21,24,27,29,Matematika,český dokument Netradiční/nestandardní úlohy
90,"V krabici je 50 kociek bielej, modrej a červenej farby. Bielych kociek je 11 krát viac ako modrých. Červených je menej ako bielych, ale viac ako modrých. O koľko menej je červených kociek ako bielych?",C,14,11,19,30,21,3,Matematika,český dokument Netradiční/nestandardní úlohy
91,"Študenti musia napísať 8 záverečných prác, z ktorých za každú môžu získať 2 až 5 bodov. Zo šiestich napísaných prác získala Anna v priemere 3,5 bodu. Aký priemerný počet bodov musí Anna získať zo zvyšných dvoch prác, aby jej celkový priemer dosiahol 4 body?",F,5 bodov.,4 body.,11 bodov.,"3,5 bodu.",6 bodov.,Celkového priemeru 4 nie je možné dosiahnuť.,Matematika,český dokument Netradiční/nestandardní úlohy
92,"Keď prší, mačka je buď v izbe, alebo v pivnici. Keď je mačka v izbe, myš je v diere a syr je v chladničke. Keď je syr na stole a mačka je v pivnici, myš je v izbe. Teraz prší a syr je na stole. Potom musí platiť:",D,Mačka je v izbe.,Myš je v diere.,"Buď je mačka v izbe, alebo myš je v diere.",Mačka je v pivnici a myš je v izbe.,Ani jedna z týchto situácií nemôže nastať.,Mačka je v pivnici a myš je v diere.,Chytáky,český dokument Netradiční/nestandardní úlohy
93,Koľkokrát sa použije číslica 2 pri číslovaní všetkých strán knihy s počtom strán 2010?,F,600 krát.,622 krát.,201 krát.,894 krát.,621 krát.,612 krát.,Matematika,český dokument Netradiční/nestandardní úlohy
94,"Koľko existuje trojuholníkov, pre ktoré platí, že dĺžka všetkých ich strán vyjadrená v centimetroch má celočíselnú hodnotu a obvod je rovný 15 centimetrom?",E,5,8,3,6,7,19,Matematika,český dokument Netradiční/nestandardní úlohy
95,"V oáze žijú jednohrbé a dvojhrbé ťavy (dromedáre a ťavy). Ak je celkový počet hláv týchto zvierat 28 a počet hrbov je 45, koľko z nich je jednohrbých tiav?",A,11,17,14,28,15,45,Matematika,český dokument Netradiční/nestandardní úlohy
96,"Správca pracuje každý utorok, každý piatok a každý nepárny deň v mesiaci. Aký je maximálny počet po sebe nasledujúcich dní, ktoré môže odpracovať v jednom kuse?",B,5,6,4,7,8,2,Časové,český dokument Netradiční/nestandardní úlohy
97,"Koľko trojciferných celých čísiel má tú vlastnosť, že ich číslica na pozícii desiatok je priemerom ostatných dvoch?",C,50,25,45,20,40,90,Matematika,český dokument Netradiční/nestandardní úlohy
98,"Muž sa pozerá na portrét. Niekto sa ho opýta: „Na koho sa pozeráš?“. Muž odpovie: „Bratov a sestry nemám, ale otec tohto muža je synom môjho otca.“. Na koho sa muž pozeral?",B,Na seba.,Na svojho syna.,Na svojho otca.,Na svojho strýka.,Na svojho dedka.,Na neznámu osobu.,Chytáky,autorsky vytvorená otázka
99,"Na oslave narodenín je 10 hostí a jedna torta. Prvá osoba si odreže 1/10 torty. Druhá osoba si odreže 1/9 zo zvyšku. Tretia si odreže 1/8 z nového zvyšku. Takto to pokračuje, až kým deviata osoba neodreže 1/2 zo zvyšku. Aký veľký kus torty zostane pre desiatu osobu?",A,1/10,1/9,1/2,Žiadny.,1/100,Nedá sa určiť.,Matematika,autorsky vytvorená otázka
100,"Existuje 100-poschodová budova. Máš dve identické sklenené gule. Chceš zistiť najvyššie poschodie, z ktorého môžeš guľu zhodiť bez toho, aby sa rozbila. Aký je minimálny počet pokusov, ktorý potrebuješ v najhoršom prípade, aby si toto poschodie zaručene našiel?",D,100,50,25,14,10,2,Matematika,autorsky vytvorená otázka
